2026-04-26 00:20:16.664 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Rejected Entry signals        │ 16                             │\n'
2026-04-26 00:20:16.664 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Entry/Exit Timeouts           │ 0 / 0                          │\n'
2026-04-26 00:20:16.664 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│                               │                                │\n'
2026-04-26 00:20:16.665 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Min balance                   │ 72.68 USDT                     │\n'
2026-04-26 00:20:16.665 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Max balance                   │ 77.768 USDT                    │\n'
2026-04-26 00:20:16.665 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Max % of account underwater   │ 9.15%                          │\n'
2026-04-26 00:20:16.666 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Absolute drawdown             │ 7.32 USDT (9.15%)              │\n'
2026-04-26 00:20:16.666 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Drawdown duration             │ 0 days 00:00:00                │\n'
2026-04-26 00:20:16.666 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Profit at drawdown start      │ 0 USDT                         │\n'
2026-04-26 00:20:16.666 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Profit at drawdown end        │ -7.32 USDT                     │\n'
2026-04-26 00:20:16.667 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Drawdown start                │ 2026-01-13 00:00:00            │\n'
2026-04-26 00:20:16.667 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Drawdown end                  │ 2026-01-13 00:00:00            │\n'
2026-04-26 00:20:16.668 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Market change                 │ 27.43%                         │\n'
2026-04-26 00:20:16.668 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '└───────────────────────────────┴────────────────────────────────┘\n'
2026-04-26 00:20:16.668 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '\n'
2026-04-26 00:20:16.669 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: 'Backtested 2025-12-30 00:00:00 -> 2026-01-13 00:00:00 | Max open trades : 2\n'
2026-04-26 00:20:16.669 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '                                                         STRATEGY SUMMARY       '
2026-04-26 00:20:16.669 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┏━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━'
2026-04-26 00:20:16.670 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┃ Strategy ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃    Avg Dur'
2026-04-26 00:20:16.670 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┡━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━'
2026-04-26 00:20:16.670 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│      yes │      2 │        -9.16 │          -7.320 │        -9.15 │ 6 days, 8:'
2026-04-26 00:20:16.671 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '└──────────┴────────┴──────────────┴─────────────────┴──────────────┴───────────'
2026-04-26 00:20:17.125 | INFO     | freqtrade_gui.services.process_run_manager | Run ba19f093-6e06-4930-9df5-e956955cac58 finished | status=finished | exit_code=0
2026-04-26 00:20:17.151 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-26 00:20:17.161 | INFO     | freqtrade_gui.services.backtest | Backtest results saved: strategy=yes run_id=run_2026-04-26_00-20-17_57e32e
2026-04-26 00:20:17.163 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-26 00:20:17.164 | INFO     | freqtrade_gui.services.process_run_manager | Run started | run_id=adff28f9-b91b-4e37-8b78-36b1d975b5c6 | cmd=/home/mohs/Desktop/ae/pyside6/.venv/bin/python -m freqtrade backtesting --user-data-dir /home/mohs/Desktop/ae/pyside6/user_data --config /home/mohs/Desktop/ae/pyside6/user_data/config.json --strategy-path /home/mohs/Desktop/ae/pyside6/user_data/strategies --strategy yes --timeframe 4h --export trades --timerange 20250603-20250617 -p HOME/USDT ETH/USDT XRP/USDT --max-open-trades 2 --dry-run-wallet 80.0 | cwd=/home/mohs/Desktop/ae/pyside6/user_data | pid=174659
2026-04-26 00:20:17.258 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:17,258 - freqtrade - INFO - freqtrade 2026.3\n'
2026-04-26 00:20:18.278 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,278 - freqtrade.configuration.load_config - INFO - Using con'
2026-04-26 00:20:18.280 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,280 - freqtrade.loggers - INFO - Enabling colorized output.\n'
2026-04-26 00:20:18.281 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,280 - freqtrade.loggers - INFO - Logfile configured\n'
2026-04-26 00:20:18.281 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,281 - freqtrade.loggers - INFO - Verbosity set to 0\n'
2026-04-26 00:20:18.282 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,281 - freqtrade.configuration.configuration - INFO - Using a'
2026-04-26 00:20:18.282 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,282 - freqtrade.configuration.configuration - WARNING - `for'
2026-04-26 00:20:18.282 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,282 - freqtrade.configuration.configuration - INFO - Paramet'
2026-04-26 00:20:18.283 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,282 - freqtrade.configuration.configuration - INFO - Paramet'
